produto_atuarial;businessline;tipo_gasto;tipo_regra;valor;periodo_inicio;periodo_fim
1001,0;Personal Protection;gastos;percentual_premio_ganho;0,1;;
1001,0;Personal Protection;other_nbi;percentual_premio_ganho;0,05;;
1002,0;Personal Protection;gastos;percentual_premio_ganho;0,08;;
1002,0;Personal Protection;other_nbi;percentual_premio_ganho;0,04;;
2001,0;Creditor Insurance;gastos;percentual_premio_ganho;0,12;;
2001,0;Creditor Insurance;other_nbi;valor_fixo;500,0;;
2002,0;Creditor Insurance;gastos;percentual_premio_ganho;0,09;;
2002,0;Creditor Insurance;other_nbi;percentual_premio_ganho;0,03;;
3001,0;P&C;gastos;percentual_premio_emitido;0,11;;
3001,0;P&C;other_nbi;valor_fixo;1200,0;;
;;;;;;
