fonte;safra;data_fim_mes;data_ini_mes;produto_atuarial;businessline;safra_venda;tipo_premio;valor_premio_emitido;valor_comissao;data_inicio_vigencia;data_fim_vigencia;quantidade_certificados;categoria;montante_capital
Stock;2025/06;30/06/2025;01/06/2025;1001;Personal Protection;2024/09;PM;15942,42;2391,36;01/09/2024;31/08/2025;122;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;1001;Personal Protection;2024/12;PM;4363,96;654,59;01/12/2024;30/11/2025;34;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;1001;Personal Protection;2025/01;PM;4304,67;645,7;01/01/2025;31/12/2025;40;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;1001;Personal Protection;2025/03;PM;11142,1;1671,32;01/03/2025;28/02/2026;94;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;1002;Personal Protection;2024/01;PU;252225,89;25222,59;01/01/2024;31/12/2025;136;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;1002;Personal Protection;2024/03;PU;321733,04;32173,3;01/03/2024;28/02/2026;171;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;1002;Personal Protection;2024/06;PU;147870,1;14787,01;01/06/2024;31/05/2026;72;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;1002;Personal Protection;2024/09;PU;291105,37;29110,54;01/09/2024;31/08/2026;177;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;1002;Personal Protection;2024/12;PU;74537,6;7453,76;01/12/2024;30/11/2026;40;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;1002;Personal Protection;2025/01;PU;139629,37;13962,94;01/01/2025;31/12/2026;77;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;1002;Personal Protection;2025/03;PU;182224,48;18222,45;01/03/2025;28/02/2027;108;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;2001;Creditor Insurance;2025/01;PM;4161,12;832,22;01/01/2025;30/06/2025;78;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;2001;Creditor Insurance;2025/03;PM;1845,36;369,07;01/03/2025;31/08/2025;34;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;2002;Creditor Insurance;2024/09;PU;180801,06;21696,13;01/09/2024;31/08/2025;194;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;2002;Creditor Insurance;2024/12;PU;114788,1;13774,57;01/12/2024;30/11/2025;127;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;2002;Creditor Insurance;2025/01;PU;73955,16;8874,62;01/01/2025;31/12/2025;83;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;2002;Creditor Insurance;2025/03;PU;66407,81;7968,94;01/03/2025;28/02/2026;70;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;3001;P&C;2024/09;PM;15999,08;2879,83;01/09/2024;31/08/2025;92;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;3001;P&C;2024/12;PM;34206,35;6157,14;01/12/2024;30/11/2025;151;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;3001;P&C;2025/01;PM;7210,63;1297,91;01/01/2025;31/12/2025;33;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;3001;P&C;2025/03;PM;4786,82;861,63;01/03/2025;28/02/2026;28;Protection;0
Stock;2025/06;30/06/2025;01/06/2025;4001;Savings;2022/01;;0;0;01/01/2022;;350;Savings;875000
Stock;2025/06;30/06/2025;01/06/2025;4001;Savings;2023/06;;0;0;01/06/2023;;200;Savings;480000
Stock;2025/06;30/06/2025;01/06/2025;4002;Savings;2021/09;;0;0;01/09/2021;;450;Savings;1350000
Stock;2025/06;30/06/2025;01/06/2025;4002;Savings;2023/03;;0;0;01/03/2023;;260;Savings;720000
