categoria;produto_atuarial;businessline;tipo;meses
Protection;1001;Personal Protection;Stock;12
Protection;1002;Personal Protection;Stock;12
Protection;2001;Creditor Insurance;Stock;12
Protection;2002;Creditor Insurance;Stock;12
Protection;3001;P&C;Stock;12
Savings;4001;Savings;Stock;0
Savings;4002;Savings;Stock;0
Protection;1001;Personal Protection;New Business;12
Protection;1002;Personal Protection;New Business;12
Protection;2001;Creditor Insurance;New Business;12
Protection;2002;Creditor Insurance;New Business;12
Protection;3001;P&C;New Business;12
Savings;4001;Savings;New Business;0
Savings;4002;Savings;New Business;0
